BeamID;Houtsoort;Breedte;Hoogte;TOTALE LENGTE;GEBRUIKTE LENGTE;OVERSCHOT;Stuk 1;Stuk 2;Stuk 3;Stuk 4;Stuk 5;Stuk 6;Stuk 7;Stuk 8;Stuk 9;Stuk 10;Stuk 11;Stuk 12
0;GeimpregneerdTanalith;18;145;4200;4175;25;2330;1430;400
1;GeimpregneerdTanalith;18;145;4200;3870;330;1930;1930
2;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
3;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
4;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
5;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
6;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
7;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
8;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
9;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
10;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
11;GeimpregneerdTanalith;18;145;4200;4175;25;1430;1430;1300
12;GeimpregneerdTanalith;18;145;4200;4045;155;1430;1300;1300
13;GeimpregneerdTanalith;18;145;4200;4200;0;1300;1160;1160;560
14;GeimpregneerdTanalith;18;145;4200;4200;0;1160;1160;1160;700
15;GeimpregneerdTanalith;18;145;4200;4200;0;1160;1160;1160;700
16;GeimpregneerdTanalith;18;145;4200;4080;120;1160;1100;1100;700
17;GeimpregneerdTanalith;18;145;4200;4020;180;1100;1100;1100;700
18;GeimpregneerdTanalith;18;145;4200;4020;180;1100;1100;1100;700
19;GeimpregneerdTanalith;18;145;4200;4020;180;1100;1100;1100;700
20;GeimpregneerdTanalith;18;145;4200;4020;180;1100;1100;1100;700
21;GeimpregneerdTanalith;18;145;4200;4020;180;1100;1100;1100;700
22;GeimpregneerdTanalith;18;145;4200;4020;180;1100;1100;1100;700
23;GeimpregneerdTanalith;18;145;4200;4150;50;1050;1050;1050;980
24;GeimpregneerdTanalith;18;145;4200;4010;190;1050;980;980;980
25;GeimpregneerdTanalith;18;145;4200;3860;340;960;960;960;960
26;GeimpregneerdTanalith;18;145;4200;3860;340;960;960;960;960
27;GeimpregneerdTanalith;18;145;4200;3860;340;960;960;960;960
28;GeimpregneerdTanalith;18;145;4200;3860;340;960;960;960;960
29;GeimpregneerdTanalith;18;145;4200;3860;340;960;960;960;960
30;GeimpregneerdTanalith;18;145;4200;4190;10;960;700;700;700;700;400
31;GeimpregneerdTanalith;18;145;4200;4200;0;700;700;700;690;690;690
32;GeimpregneerdTanalith;18;145;4200;4170;30;690;690;690;690;690;690
33;GeimpregneerdTanalith;18;145;4200;4170;30;690;690;690;690;690;690
34;GeimpregneerdTanalith;18;145;4200;4170;30;690;690;690;690;690;690
35;GeimpregneerdTanalith;18;145;4200;3985;215;590;560;560;560;560;560;560
36;GeimpregneerdTanalith;18;145;4200;4130;70;560;530;520;520;520;480;480;480
37;GeimpregneerdTanalith;18;145;4200;485;3715;480
38;GeimpregneerdTanalith;45;45;3000;721;2279;70;70;70;70;70;52;52;50;50;50;50;7
39;GeimpregneerdTanalith;45;70;3000;2335;665;2330
40;GeimpregneerdTanalith;45;70;3000;2890;110;1930;950
41;GeimpregneerdTanalith;45;70;3000;2890;110;1930;950
42;GeimpregneerdTanalith;45;70;3000;2820;180;1930;880
43;GeimpregneerdTanalith;45;70;3000;2870;130;1760;1100
44;GeimpregneerdTanalith;45;70;3000;2870;130;1760;1100
45;GeimpregneerdTanalith;45;70;3000;2970;30;1660;1300
46;GeimpregneerdTanalith;45;70;3000;2970;30;1660;1300
47;GeimpregneerdTanalith;45;70;3000;2610;390;1300;1300
48;GeimpregneerdTanalith;45;70;3000;2610;390;1300;1300
49;GeimpregneerdTanalith;45;70;3000;2610;390;1300;1300
50;GeimpregneerdTanalith;45;70;3000;2610;390;1300;1300
51;GeimpregneerdTanalith;45;70;3000;2410;590;1300;1100
52;GeimpregneerdTanalith;45;70;3000;2945;55;1100;1100;730
53;GeimpregneerdTanalith;45;70;3000;2945;55;1100;1100;730
54;GeimpregneerdTanalith;45;70;3000;2915;85;1100;1100;700
55;GeimpregneerdTanalith;45;70;3000;2275;725;880;700;680
56;GeimpregneerdTanalith;90;90;3000;2705;295;2700
57;GeimpregneerdTanalith;90;90;3000;2705;295;2700
58;GeimpregneerdTanalith;90;90;3000;2705;295;2700
59;GeimpregneerdTanalith;90;90;3000;2705;295;2700
60;GeimpregneerdTanalith;90;90;3000;2705;295;2700
61;GeimpregneerdTanalith;90;90;3000;2705;295;2700
62;GeimpregneerdTanalith;90;90;3000;2705;295;2700
63;GeimpregneerdTanalith;90;90;3000;2405;595;2400
64;GeimpregneerdTanalith;90;90;3000;2215;785;2210
65;GeimpregneerdTanalith;90;90;3000;2550;450;1270;1270
66;GeimpregneerdTanalith;90;90;3000;2210;790;1100;1100
